starttime,endtime,rate,all_distance
17-07-23_00-00-23,17-07-24_00-00-23,0.25,704.06
17-07-24_00-00-23,17-07-25_00-00-24,0.0333,135.33
17-07-25_00-00-24,17-07-26_23-59-50,0.3462,896.99
17-07-28_00-00-21,17-07-29_00-00-18,0.0385,62.18
17-07-31_00-00-18,17-08-01_00-00-17,0.1154,272.91
17-08-01_00-00-17,17-08-02_00-00-17,0.3846,913.59
17-08-02_00-00-17,17-08-03_00-00-16,0.1667,448.64
17-08-03_00-00-16,17-08-04_00-00-14,0.1923,450.44
17-08-04_00-00-14,17-08-05_00-00-13,0.1852,430.34
17-08-05_00-00-13,17-08-06_00-00-12,0.0385,0
17-08-06_00-00-12,17-08-07_00-00-10,0.1923,460.13
17-08-07_00-00-10,17-08-08_00-00-11,0.1515,427.02
17-08-08_00-00-11,17-08-09_00-00-09,0.303,1040.95
17-08-11_00-00-07,17-08-12_00-00-08,0.1481,297.63
17-08-12_00-00-08,17-08-13_00-00-08,0.12,265.4
17-08-13_00-00-08,17-08-14_00-00-05,0.2188,849.76
17-08-16_00-00-04,17-08-17_00-00-03,0.1212,277.03
17-08-17_00-00-03,17-08-18_00-00-04,0.1111,378.5
17-08-18_00-00-04,17-08-19_00-00-01,0.16,510.07
17-08-21_00-00-00,17-08-22_00-00-01,0.2222,747.85
17-08-22_00-00-01,17-08-22_23-59-57,0.1429,192.95
17-08-24_23-59-44,17-08-25_23-59-41,0.1364,209.91
17-08-25_23-59-41,17-08-26_23-59-41,0.2174,388.52
17-08-26_23-59-41,17-08-27_23-59-39,0.0952,255.54
17-08-27_23-59-39,17-08-28_23-59-41,0.1176,227.11
17-08-28_23-59-41,17-08-29_23-59-37,0.1111,185.56
17-08-31_23-59-36,17-09-01_23-59-37,0.2609,636.4
17-09-01_23-59-37,17-09-02_23-59-36,0.1429,271.29
17-09-02_23-59-36,17-09-03_23-59-38,0.125,188.77
17-09-03_23-59-38,17-09-04_23-59-32,0.2273,584.62
17-09-04_23-59-32,17-09-05_23-59-31,0.0769,202.52
17-09-05_23-59-31,17-09-06_23-59-46,0.1034,213.15
17-09-06_23-59-46,17-09-07_23-59-45,0.0741,149.92
17-09-07_23-59-45,17-09-08_23-59-43,0.1724,500.88
17-09-10_23-59-40,17-09-11_23-59-41,0.0952,251.67
17-09-11_23-59-41,17-09-12_23-59-39,0.1538,366.17
17-09-12_23-59-39,17-09-13_23-59-38,0.0435,87.1
17-09-13_23-59-38,17-09-14_23-59-38,0.15,357.98
17-09-14_23-59-38,17-09-15_23-59-40,0.1071,264.05
17-09-15_23-59-40,17-09-16_23-59-38,0.1,292.11
17-09-16_23-59-38,17-09-17_23-59-37,0.0714,143.39
17-09-17_23-59-37,17-09-18_23-59-35,0,0
17-09-20_23-59-34,17-09-21_23-59-32,0.0417,142.41
17-09-21_23-59-32,17-09-22_23-59-34,0.087,266.06
17-09-22_23-59-34,17-09-23_23-59-32,0.1304,332.5
17-09-23_23-59-32,17-09-24_23-59-30,0.0455,51.66
17-09-24_23-59-30,17-09-25_23-59-30,0.1364,323.03
17-09-25_23-59-30,17-09-26_23-59-29,0.1,126.53
17-09-26_23-59-29,17-09-27_23-59-28,0.1765,154.6
17-09-27_23-59-28,17-09-28_23-59-29,0.1579,267.06
17-09-28_23-59-29,17-09-30_23-59-24,0.1667,407.59
17-09-30_23-59-24,17-10-01_23-59-25,0.1905,449.59
17-10-01_23-59-25,17-10-02_23-59-24,0.1,181.1
17-10-02_23-59-24,17-10-03_23-59-24,0.0952,106.29
17-10-03_23-59-24,17-10-04_23-59-22,0.1579,295.01
17-10-04_23-59-22,17-10-05_23-59-21,0.1176,117.54
17-10-05_23-59-21,17-10-06_23-59-20,0.2353,557.85
17-10-06_23-59-20,17-10-07_23-59-19,0.1765,205.39
17-10-07_23-59-19,17-10-08_23-59-19,0.125,186.26
17-10-10_23-59-16,17-10-11_23-59-17,0.1333,121.67
17-10-11_23-59-17,17-10-12_23-59-16,0,0
17-10-12_23-59-16,17-10-13_23-59-15,0.0588,165.05
17-10-13_23-59-15,17-10-14_23-59-14,0.125,106.12
17-10-14_23-59-14,17-10-15_23-59-14,0.1333,227.24
17-10-15_23-59-14,17-10-16_23-59-12,0.25,479.11
17-10-16_23-59-12,17-10-17_23-59-10,0.1875,288.3
17-10-17_23-59-10,17-10-18_23-59-10,0.25,482.82
17-10-20_23-59-08,17-10-21_23-59-08,0.2,381.39
17-10-21_23-59-08,17-10-22_23-59-06,0.2353,549.78
17-10-22_23-59-06,17-10-23_23-59-06,0.1667,356.83
17-10-23_23-59-06,17-10-24_23-59-05,0.1111,114.83
17-10-24_23-59-05,17-10-25_23-59-05,0.2105,240.74
17-10-25_23-59-05,17-10-26_23-59-02,0.0833,268.33
17-10-26_23-59-02,17-10-27_23-59-02,0,0
17-10-27_23-59-02,17-10-28_23-59-01,0.15,277.02
17-10-30_23-59-01,17-10-31_23-59-01,0.0588,52
17-10-31_23-59-01,17-11-01_23-59-00,0,0
17-11-01_23-59-00,17-11-02_23-58-58,0.1667,455.94
17-11-02_23-58-58,17-11-03_23-58-56,0.1,151.57
17-11-03_23-58-56,17-11-04_23-58-56,0.0476,66.73
17-11-04_23-58-56,17-11-05_23-58-53,0.05,59.14
17-11-05_23-58-53,17-11-06_23-58-55,0.1,283.32
17-11-06_23-58-55,17-11-07_23-58-55,0.0588,70.52
17-11-07_23-58-55,17-11-08_23-58-54,0.0526,58.86
17-11-10_23-58-52,17-11-11_23-58-52,0.0625,108.3
17-11-11_23-58-52,17-11-12_23-58-51,0.1667,319.53
17-11-12_23-58-51,17-11-13_23-58-47,0.3125,535.03
17-11-13_23-58-47,17-11-14_23-58-49,0.2353,299.07
17-11-14_23-58-49,17-11-15_23-58-48,0.28,747.72
17-11-15_23-58-48,17-11-16_23-58-46,0.0435,111.07
17-11-16_23-58-46,17-11-17_23-58-46,0.1905,453.25
17-11-17_23-58-46,17-11-18_23-58-45,0.0952,103.13
17-11-20_23-58-42,17-11-21_23-58-43,0.1111,233.85
17-11-21_23-58-43,17-11-22_23-58-41,0.0667,72.07
17-11-22_23-58-41,17-11-23_23-58-40,0.1579,295.57
17-11-23_23-58-40,17-11-24_23-58-39,0.0455,71.11
17-11-24_23-58-39,17-11-25_23-58-38,0,0
17-11-25_23-58-38,17-11-26_23-58-37,0,0
17-11-26_23-58-37,17-11-27_23-58-36,0.1579,360.3
17-11-27_23-58-36,17-11-28_23-58-37,0.1053,172.5
17-11-30_23-58-35,17-12-01_23-58-34,0.2667,249.4
17-12-01_23-58-34,17-12-02_23-58-35,0.1765,250.12
17-12-02_23-58-35,17-12-03_23-58-32,0.05,51.22
17-12-03_23-58-32,17-12-04_23-58-29,0,0
17-12-04_23-58-29,17-12-05_23-58-30,0.0769,120.78
17-12-05_23-58-30,17-12-06_23-58-29,0.0769,81.94
17-12-08_23-58-14,17-12-09_23-58-13,0.15,362.45
17-12-12_23-58-12,17-12-13_23-58-08,0.2,407.38
17-12-13_23-58-08,17-12-14_23-58-08,0.2222,349.9
17-12-14_23-58-08,17-12-15_23-58-09,0.2,326.15
17-12-15_23-58-09,17-12-16_23-58-07,0.1905,439.66
17-12-16_23-58-07,17-12-17_23-58-20,0.2273,532.6
17-12-17_23-58-20,17-12-18_23-58-19,0.0588,61.4
17-12-20_23-58-18,17-12-21_23-58-17,0.2353,338.25
17-12-21_23-58-17,17-12-22_23-58-16,0.0588,120.51
17-12-22_23-58-16,17-12-23_23-58-13,0.2222,515.54
17-12-23_23-58-13,17-12-24_23-58-16,0.0556,50.7
17-12-24_23-58-16,17-12-25_23-58-14,0.1111,70.61
17-12-25_23-58-14,17-12-26_23-58-13,0,0
17-12-26_23-58-13,17-12-27_23-58-14,0.1,176.7
17-12-27_23-58-14,17-12-28_23-58-11,0.1111,136.04
17-12-30_23-58-11,17-12-31_23-58-09,0,0
17-12-31_23-58-09,18-01-01_23-58-07,0.125,135.55
18-01-01_23-58-07,18-01-02_23-58-06,0.2105,526.46
18-01-02_23-58-06,18-01-03_23-58-06,0.05,114.48
18-01-03_23-58-06,18-01-04_23-58-05,0.1765,248.46
18-01-04_23-58-05,18-01-05_23-58-05,0.25,193.37
18-01-05_23-58-05,18-01-06_23-58-05,0.2222,361.33
18-01-06_23-58-05,18-01-07_23-58-03,0.2143,313.26
18-01-07_23-58-03,18-01-08_23-58-03,0.1765,358.86
18-01-10_23-58-01,18-01-11_23-58-01,0.0625,72.03
18-01-11_23-58-01,18-01-12_23-58-00,0.1429,142.09
18-01-12_23-58-00,18-01-13_23-57-57,0.2308,422.31
18-01-13_23-57-57,18-01-14_23-57-56,0.1538,183.14
18-01-14_23-57-56,18-01-15_23-57-58,0,0
18-01-15_23-57-58,18-01-16_23-57-56,0.1765,301.83
18-01-16_23-57-56,18-01-17_23-57-57,0.05,95.04
18-01-17_23-57-57,18-01-18_23-57-54,0.1765,313.41
18-01-20_23-57-52,18-01-21_23-57-50,0.1579,345.82
18-01-21_23-57-50,18-01-22_23-57-52,0.0526,110.72
18-01-22_23-57-52,18-01-23_23-57-50,0.1053,196.81
18-01-23_23-57-50,18-01-24_23-57-50,0.0556,84.39
